Name,Tenant domain,Container,Source,Group email,Created time,Last activity date,Description,Group type,Viva Engage connection,Hide from address list,Aliases,Team status,Synced from on-premises,Security enabled,Membership type,Privacy,Roles assignable,Roles,Site URL,Mailbox size (GB),Storage used (GB),Sensitivity label,Allow external senders to email this Group,Owners,Members,First EnPower registration time,Group ID,Registered,Primary contact,Secondary contact,Membership assignment method,Claim status,Contact election profile,Renewal profile,Phase,Phase assignee,Renewal start time,Renewal due date,Next renewal date,Last renewal time,Last renewed by,B-Department,Please Select a Site Type to Start the Site Creation Request,B-Library Short Name,B-Library name,Department,Allow External Sharing-choice,EDRMS Site Type,Please select: Lock Site / Unlock Site,Library Short Name,Library name,Please Select a Library Type to Start the Library Creation Request,Procurement library,Allow External Sharing,RefinableString00,Department22,Site Short Name,DRM Department,Business Need,Desired Outcomes,Key Risks and Considerations,Content Category,Site URL,Remarks,Records Manager,Project Owner,External Sharing Allowed?,Choose Project Site Template,Choose Site Template,Please provide business reasons for having site site.,Segment,Division,Region,Manager,Purpose of Use,Request Reason,External Company Name,GALines,Archiver,Delete Site,D- Change list setting
0331,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default security and distribution group container,Cloud,0331@7rkd12.onmicrosoft.com,3/31/2026 3:52:44 PM,-,0331,Mail-enabled security group,Not connected,Off,-,Teams not connected,No,Yes,Assigned,-,No,User (no admin center access),-,N/A,0.00,None,Off,1,1,6/24/2026 10:51:40 AM,cb0599df-bd68-4c28-843c-d3830b218fb7,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
adal1,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,adal1@7rkd12.onmicrosoft.com,12/19/2024 9:00:56 AM,8/26/2025,adal1,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/adal1,0.00,0.00,None,Off,1,0,9/6/2025 8:08:55 AM,f19da345-c204-44f5-abf3-dcbe7988efe1,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AdaTeam,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default security and distribution group container,Cloud,-,5/18/2026 10:11:07 AM,-,AdaTeam,Security group,Not connected,Off,-,Teams not connected,No,Yes,Assigned,Private,Yes,User (no admin center access),-,N/A,0.00,None,Off,1,1,6/24/2026 10:51:40 AM,20661991-01dd-40e7-bf76-b614f0e7f321,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADB DRM Test Accounts,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,adbtestaccounts@7rkd12.onmicrosoft.com,5/8/2025 4:25:32 PM,12/18/2025,Test Accounts for ADB to access and test in the Test Tenant,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/adbtestaccounts,0.00,0.00,None,Off,3,14,9/6/2025 8:08:55 AM,acd26b44-0f9d-4623-aebd-11760a18a647,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADB Test,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,ADBTest@7rkd12.onmicrosoft.com,1/9/2025 5:31:45 PM,7/8/2026,ADB Test,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/ADBTest,0.00,0.04,None,Off,1,1,1/9/2025 7:04:09 PM,79f11aea-172a-4940-814f-01022864257f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADB Test site,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,ADBTestsite@7rkd12.onmicrosoft.com,3/13/2025 9:46:59 AM,8/28/2025,ADB Test site,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/ADBTestsite,0.00,0.00,None,Off,1,3,3/13/2025 12:04:49 PM,f88d43bf-83ed-4cc6-b8b4-1a926a34876f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADB-Project Template,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,ADB-ProjectTemplate@7rkd12.onmicrosoft.com,11/11/2024 6:58:05 PM,3/6/2026,ADB-Project Template,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/ADB-ProjectTemplate,0.00,0.00,None,Off,1,1,9/6/2025 8:08:55 AM,bdaad6f9-f2af-45ce-9f62-007a9582f8b0,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Add-in DG,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default security and distribution group container,Cloud,add-inDG@7rkd12.onmicrosoft.com,4/10/2026 11:30:16 AM,-,Add-in DG,Distribution group,Not connected,Off,-,Teams not connected,No,No,Assigned,-,No,User (no admin center access),-,N/A,0.00,None,On,1,1,6/24/2026 10:51:41 AM,1764faec-7690-42c8-8f0a-a5a2aeaa5fed,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
All Company,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,allcompany@7rkd12.onmicrosoft.com,5/17/2024 5:06:42 AM,4/8/2025,This is the default group for everyone in the network,Microsoft 365 Group,Connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/allcompany,0.00,0.00,None,Off,1,1,9/6/2025 8:08:55 AM,3be6af7b-0c1e-4037-95cf-f8bde2b9ed6c,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BonnieTeam1,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,BonnieTeam1@7rkd12.onmicrosoft.com,11/27/2024 3:24:07 PM,4/28/2026,BonnieTeam1,Microsoft 365 Group,Not connected,On,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/BonnieTeam1,0.00,0.00,None,Off,1,1,11/27/2024 5:03:38 PM,520825a9-6d87-4ec2-b244-9c6edcefce7a,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
